ROTT,ROTT_min,ROTT_mean,ROTT_dev,ROTT_ROTT_mean,ROTT_ROTT_max,ROTT_ROTT_min,ROTT_min_mean,ROTT_ROTT_mean_dev,ROTT_ROTT_mean_dev2,IAT,IATmin,IATmax,IATmean,IAT与最小值比,IAT与最大值比,IAT与平均值比,IAT最小比平均,临近IAT比值,Numrec,Numloss,丢包类别
0.00412,0.0038,0.003858,0.000262,1.068032,0.811024,1.084211,0.985078402,1.145997,1.105642,0.00083,0.0008,0.0016,0.0014917,1.0375,0.51875,0.5564016,0.5362907,0.51875,82,3,-1
0.00399,0.0038,0.003895,0.000095,1.02439,1,1.05,0.975609756,1.05,1.037037,0.00083,0.00083,0.00083,0.00083,1,1,1,1,0,2,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,26,1,1
0.00389,0.0038,0.00385,0.00004,1.01039,0.989822,1.023684,0.987012987,1.020997,1.015666,0.00083,0.0008,0.0016,0.001015,1.0375,0.51875,0.817734,0.7881773,1.0375,5,1,-1
0.00383,0.0038,0.00381,0.00002,1.005249,1,1.007895,0.997375328,1.010554,1.007895,0.00089,0.00089,0.0016,0.001245,1,0.55625,0.7148594,0.7148594,0.55625,3,1,-1
0.00383,0.0038,0.003801,0.000029,1.00762,1,1.007895,0.999727842,1.015358,1.011474,0.00095,0.00095,0.0016,0.0015768,1,0.59375,0.6024915,0.6024915,0.59375,29,2,-1
0.00384,0.0038,0.003809,0.000031,1.008263,0.955224,1.010526,0.997760445,1.016664,1.012446,0.00115,0.0008,0.0016,0.0015555,1.4375,0.71875,0.7393337,0.5143191,0.71875,34,2,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,14,1,1
0.00383,0.0038,0.003826,0.000004,1.001176,0.901176,1.007895,0.993334205,1.002355,1.001766,0.00086,0.0008,0.0016,0.0015005,1.075,0.5375,0.5731322,0.5331463,1.075,20,2,-1
0.00384,0.0038,0.003801,0.000039,1.010183,1,1.010526,0.999660557,1.020576,1.015353,0.00138,0.00138,0.0016,0.0015927,1,0.8625,0.8664713,0.8664713,0.8625,31,1,-1
0.00383,0.0038,0.003815,0.000015,1.003932,1,1.007895,0.996068152,1.007895,1.005909,0.00144,0.00144,0.00144,0.00144,1,1,1,1,0,2,2,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,25,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,0,2,1,1
0.0038,0.0038,0.003835,-0.000035,0.990892,0.826087,1,0.990892257,0.981949,0.9864,0.0016,0.0008,0.0016,0.0015304,2,1,1.0454502,0.5227251,1,69,1,-1
0.0038,0.0038,0.0038,0,0.999937,0.992167,1,0.999936846,0.999874,0.999905,0.0016,0.00157,0.0016,0.0015998,1.0191083,1,1.0001512,0.9813984,1,125,1,-1
0.0038,0.0038,0.003801,-0.000001,0.999832,0.992167,1,0.999832055,0.999664,0.999748,0.0016,0.00157,0.0016,0.0015993,1.0191083,1,1.0004078,0.9816501,1,47,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,42,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,90,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,27,1,1
0.0038,0.0038,0.003817,-0.000017,0.995653,0.844444,1,0.995652951,0.991344,0.993494,0.0016,0.0008,0.0016,0.0015628,2,1,1.0238095,0.5119048,1.0191083,44,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,4,1,1
0.00425,0.0038,0.003853,0.000397,1.103156,0.806452,1.118421,0.98635091,1.230041,1.163148,0.00083,0.0008,0.0016,0.0015185,1.0375,0.51875,0.5465839,0.5268278,0.51875,89,3,-1
0.00412,0.0038,0.00381,0.00031,1.081365,1,1.084211,0.997375328,1.177143,1.127223,0.00083,0.00083,0.0016,0.0015752,1,0.51875,0.5269302,0.5269302,0.51875,32,1,-1
0.00403,0.0038,0.003915,0.000115,1.029374,1,1.060526,0.970625798,1.060526,1.044718,0.00083,0.00083,0.00083,0.00083,1,1,1,1,0,2,1,-1
0.00396,0.0038,0.003805,0.000155,1.040736,1,1.042105,0.99868594,1.084932,1.062374,0.00083,0.00083,0.0016,0.0015752,1,0.51875,0.5269302,0.5269302,0.51875,32,1,-1
0.00384,0.0038,0.003801,0.000039,1.010214,1,1.010526,0.999690498,1.020638,1.015399,0.00083,0.00083,0.0016,0.0015767,1,0.51875,0.5264271,0.5264271,0.51875,34,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,3,1,1
0.00383,0.0038,0.003802,0.000028,1.007398,0.992228,1.007895,0.999506822,1.014906,1.011138,0.00093,0.0008,0.0016,0.001564,1.1625,0.58125,0.5946412,0.5115193,0.58125,64,2,-1
0.00383,0.0038,0.003801,0.000029,1.007654,1,1.007895,0.999760823,1.015425,1.011525,0.00099,0.00099,0.0016,0.0015809,1,0.61875,0.6262107,0.6262107,0.61875,33,2,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,7,1,1
0.0038,0.0038,0.003806,-0.000006,0.998492,0.931373,1,0.998491558,0.996988,0.997739,0.0016,0.0008,0.0016,0.0015698,2,1,1.0192308,0.5096154,1,54,1,1
0.00384,0.0038,0.003812,0.000028,1.007457,0.920863,1.010526,0.996962165,1.015025,1.011227,0.00124,0.0008,0.0016,0.001547,1.55,0.775,0.8015374,0.5171209,0.775,38,1,-1
0.00383,0.0038,0.003801,0.000029,1.007661,1,1.007895,0.999767856,1.01544,1.011535,0.00127,0.00127,0.0016,0.00159,1,0.79375,0.7987421,0.7987421,0.79375,34,1,-1
0.00383,0.0038,0.003801,0.000029,1.007661,1,1.007895,0.999767856,1.01544,1.011535,0.00131,0.00131,0.0016,0.0015912,1,0.81875,0.8232718,0.8232718,0.81875,34,1,-1
0.00384,0.0038,0.003801,0.000039,1.010214,1,1.010526,0.999690498,1.020638,1.015399,0.00138,0.00138,0.0016,0.0015933,1,0.8625,0.8661088,0.8661088,0.8625,34,2,-1
0.00383,0.0038,0.003801,0.000029,1.007654,1,1.007895,0.999760823,1.015425,1.011525,0.00144,0.00144,0.0016,0.001595,1,0.9,0.9028213,0.9028213,0.9,33,2,-1
0.00383,0.0038,0.003801,0.000029,1.007654,1,1.007895,0.999760823,1.015425,1.011525,0.00153,0.00153,0.0016,0.0015978,1,0.95625,0.9575592,0.9575592,0.95625,33,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,18,1,1
0.0038,0.0038,0.003818,-0.000018,0.995349,0.822511,1,0.995349334,0.990742,0.99304,0.0016,0.0008,0.00162,0.0015667,2,0.9876543,1.0212766,0.5106383,1,49,1,-1
0.0038,0.0038,0.003801,-0.000001,0.999798,0.992167,1,0.999797612,0.999595,0.999696,0.0016,0.00157,0.0016,0.0015992,1.0191083,1,1.0004937,0.9817344,1,39,1,1
0.0038,0.0038,0.003809,-0.000009,0.997737,0.829694,1,0.997737493,0.995485,0.99661,0.0016,0.0008,0.0016,0.0015828,2,1,1.0108696,0.5054348,1,94,1,1
0.00537,0.0038,0.003886,0.001484,1.382042,1,1.413158,0.977981127,2.236465,1.708378,0.00083,0.00083,0.0016,0.0015408,1,0.51875,0.538692,0.538692,1,27,1,-1
0.0038,0.0038,0.003805,-0.000005,0.998686,0.984456,1,0.99868594,0.997375,0.99803,0.0016,0.00154,0.0016,0.0015945,1.038961,1,1.0034208,0.9657925,1,12,1,-1
0.00533,0.0038,0.003901,0.001429,1.366189,1,1.402632,0.974018408,2.155515,1.672395,0.00083,0.00083,0.0016,0.0015267,1,0.51875,0.5436681,0.5436681,1,22,2,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,5,1,1
0.00434,0.0038,0.003841,0.000499,1.129998,0.993135,1.142105,0.989399293,1.298846,1.208553,0.00083,0.0008,0.0016,0.0015133,1.0375,0.51875,0.5484581,0.5286344,1.0375,28,2,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,11,1,1
0.00418,0.0038,0.003839,0.000341,1.088799,0.983529,1.1,0.989817665,1.194906,1.139388,0.00083,0.0008,0.0016,0.0014871,1.0375,0.51875,0.5581172,0.5379443,0.5286624,22,1,-1
0.00409,0.0038,0.003809,0.000281,1.073673,1,1.076316,0.997544246,1.159064,1.114735,0.00083,0.00083,0.0016,0.0015743,1,0.51875,0.5272073,0.5272073,0.51875,31,1,-1
0.00403,0.0038,0.003877,0.000153,1.039553,1,1.060526,0.98022356,1.082363,1.060526,0.00083,0.00083,0.0016,0.001215,1,0.51875,0.6831276,0.6831276,0.51875,3,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,22,1,1
0.00386,0.0038,0.003806,0.000054,1.014201,0.974747,1.015789,0.998436034,1.028811,1.021454,0.00083,0.0008,0.0016,0.0015422,1.0375,0.51875,0.5381939,0.5187411,0.51875,42,1,-1
0.00383,0.0038,0.003801,0.000029,1.007661,1,1.007895,0.999767856,1.01544,1.011535,0.00086,0.00086,0.0016,0.0015776,1,0.5375,0.5451402,0.5451402,0.5375,34,2,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,5,1,1
0.00476,0.0038,0.003864,0.000896,1.23195,1,1.252632,0.983489514,1.603997,1.393569,0.0008,0.0008,0.0016,0.00152,1,0.5,0.5263158,0.5263158,0.9638554,29,1,-1
0.00383,0.0038,0.003801,0.000029,1.007646,1,1.007895,0.99975335,1.01541,1.011513,0.00102,0.00102,0.0016,0.0015813,1,0.6375,0.6450428,0.6450428,0.6375,32,2,-1
0.0038,0.0038,0.003809,-0.000009,0.997703,0.931373,1,0.997702658,0.995416,0.996558,0.0016,0.00132,0.0016,0.001591,1.2121212,1,1.0056772,0.8296837,1,32,1,1
0.0038,0.0038,0.003815,-0.000015,0.996068,0.915663,1,0.996068152,0.992167,0.994114,0.0016,0.0008,0.0016,0.001554,2,1,1.029601,0.5148005,1,26,1,1
